Title,Year,Genre,Rating,Certificate,Directors,Cast,Description,Runtime
Dr. Dolittle 2 (2001) ,2001,"Comedy, Family, Fantasy",4.7,U,['Steve Carr'],"['Eddie Murphy', 'Kristen Wilson', 'Raven-Symoné', 'Kyla Pratt', ""Lil' Zane"", 'Denise Dowse', 'James Avery', 'Elayn J. Taylor', 'Andy Richter', 'Kevin Pollak', 'Victor Raider-Wexler', 'Jeffrey Jones', 'Mark Griffin', 'Ken Hudson Campbell', 'Anne Stedman', 'Tommy Bush', 'Adam Vernier', 'Chris Marley', 'Shaun Robinson', 'Googy Gress', 'Lisa Marie Hugueley', 'Steve Irwin', 'Doug Seus', 'Louise Osbourne', 'Brie Hill Arbaugh', 'E.J. Wessel', 'Steve Zahn', 'Lisa Kudrow', 'Jacob Vargas', 'Michael Rapaport', 'Isaac Hayes', 'Andy Dick', 'Joey Lauren Adams', 'Maria Arcé', 'Melique Berger', 'David Cross', 'David DeLuise', 'Trevor Denman', 'John DiMaggio', 'Georgia Engel', 'Mike Epps', 'Jamie Kennedy', 'Tom Kenny', 'Clyde Kusatsu', 'Cedric The Entertainer', 'David L. Lander', 'Michael McKean', 'Tara Mercurio', 'Mandy Moore', 'Frankie Muniz', 'Bob Odenkirk', 'Phil Proctor', 'Reni Santoni', 'Richard C. Sarafian', 'Hal Sparks', 'Renée Taylor', 'John Witherspoon', 'Keone Young', 'Bart the Bear', 'Honey Bump Bear', 'Tank the Bear', 'Betty', 'Jodi Essex', 'Norm MacDonald', 'Christie McNew', 'Crystal the Monkey', 'James Murray', 'Lawrence Pressman', 'Arnold Schwarzenegger']","Dr. Dolittle 2: Directed by Steve Carr. With Eddie Murphy, Kristen Wilson, Raven-Symoné, Kyla Pratt. Dolittle must save a forest and a bear's life.",87
Finder's Fee (2001) ,2001,"Drama, Thriller",6.2,R,['Jeff Probst'],"['Erik Palladino', 'Ryan Reynolds', 'Dash Mihok', 'Carly Pope', 'Frances Bay', 'Matthew Lillard', 'James Earl Jones', 'Robert Forster', 'Colleen Wheeler', 'Louis Chirillo', 'Nathaniel DeVeaux']","Finder's Fee: Directed by Jeff Probst. With Erik Palladino, Ryan Reynolds, Dash Mihok, Carly Pope. A man finds a wallet containing a winning lottery ticket worth $6 million.",100
Die with Me (2001) ,2001,"Drama, Fantasy",6.8,,['Roberta C. Williams'],"['Jake Lloyd', 'Andrew Van Hise', 'Sheri Dayton', 'David Tyree']","Die with Me: Directed by Roberta C. Williams. With Jake Lloyd, Andrew Van Hise, Sheri Dayton, David Tyree.",
An American Rhapsody (2001) ,2001,Drama,6.7,PG-13,['Éva Gárdos'],"['Scarlett Johansson', 'Nastassja Kinski', 'Raffaella Bánsági', 'Tony Goldwyn', 'Ágnes Bánfalvy', 'Zoltán Seress', 'Klaudia Szabó', 'Zsolt Zágoni', 'András Szöke', 'Erzsi Pásztor', 'Carlos Laszlo', 'Bori Kereszturi', 'Péter Kálloy Molnár', 'Zsuzsa Czinkóczi', 'Balázs Galkó', 'Kata Dobó', 'Éva Szörényi', 'Don Pugsley', 'Vladimir Mashkov', 'Lisa Jane Persky', 'Colleen Camp', 'Kelly Banlaki', 'Imola Gáspár', 'Tatyana Kanavka', 'Mae Whitman', 'Lorna Scott', 'Sandra Staggs', 'Jacqueline Steiger', 'Robert Lesser', 'Lou Beach', 'Marlee Jackson', 'Emmy Rossum', 'Timothy Everett Moore', 'Joshua Dov', 'Larisa Oleynik', 'Kati Bács', 'Zsuzsa Száger', 'Andras Banlaki', 'Éva Gárdos', 'Peter Janosi']","An American Rhapsody: Directed by Éva Gárdos. With Scarlett Johansson, Nastassja Kinski, Raffaella Bánsági, Tony Goldwyn. A young Hungarian girl struggles to find her place in the world when she's reunited with her parents in the USA years after she was left behind during their flight from the communist country in the 1950s.",106
Way Off Broadway (2001) ,2001,Drama,6.0,,['Dan Kay'],"['Brad Beyer', 'Morena Baccarin', 'Michael Parducci', 'Jordan Gelber', 'Forbes March', 'Tom Spackman', 'Chris Phillips', 'Christopher Murney', 'Brian Turnbaugh', 'Julie Lund', 'Eugene Osborne Smith', 'Jack Ferver', 'Neal Jones', 'Olinda Turturro', 'Larry Pine', 'Suzanne Levinson', 'Dave Narby', 'Dechen Thurman', 'Katy Hansz', 'Amanda Bremen', 'Bill Dawes', 'Jarrod Bunch', 'Jeffrey Emerson', 'Jack Howard', 'Maggie Lacey', 'Zoe Hunter', 'Marcia Lynn', 'Cliff Moylan', 'Andrew Weber']","Way Off Broadway: Directed by Dan Kay. With Brad Beyer, Morena Baccarin, Michael Parducci, Jordan Gelber. Five struggling artists just out of college take a crash course in life as they explore the dynamic of conflict in friendship involving sex, love, failure, and betrayal.",
Baby Boy (2001) ,2001,"Crime, Drama, Romance",6.4,R,['John Singleton'],"['Tyrese Gibson', 'Taraji P. Henson', 'Omar Gooding', 'Tamara Bass', 'Candy Ann Brown', 'A.J. Johnson', 'Ving Rhames', 'Snoop Dogg', 'Angell Conwell', 'Kareem J. Grimes', 'Tracey Cherelle Jones', 'Kaylan Bolton', 'Kylan Bolton', 'Freez Luv', ""Mo'Nique"", 'Juanita Jennings', 'Liris Crosse', 'Sylvester Robinson', 'Maasai Singleton', 'Mario Jackson', 'Keith Diamond', 'Freddie Ricks', 'Selma McPherson', 'Asondra Hunter', 'Tawny Dahl', 'Alexsandra Wright', 'Serese Teate', 'Olan Thompson', 'Ephraim Benton', 'Java Benson', 'DeJuan Guy', 'Deon Gregory', 'Tray Deee', 'Goldie Loc', 'Diamond Dawn Cook', 'Charlee Miyohshi', 'Roma Alvarez', 'Limary Agosto', 'Amentha Dymally', 'Kym Whitley', 'Hope Flood', 'Dannon Green', 'Cleopatra Singleton', 'Sheila Ward', 'Jamaica Carter', 'Delores Gilbeaux', 'Romeo Holloway', 'Sir Hondes D. Williams Sr.', 'Calvin L. Valrie Jr.', 'Eddie Clark', 'Yolanda Jones', 'Spencer Kayden', 'Akciree Knight', 'Ericka Knight', 'Shawn M. Richardz', 'John Singleton', 'Angie Wells']","Baby Boy: Directed by John Singleton. With Tyrese Gibson, Taraji P. Henson, Omar Gooding, Tamara Bass. In South Central L.A., a misguided 20-year-old African-American man, a ""baby boy"", faces the commitments of real life.",130
Besotted (2001) ,2001,"Comedy, Romance",5.5,,['Holly Hardman'],"['Jim Chiros', 'Susan Gibney', 'Holly Hardman', 'Liam Waite', 'Amy Wright', 'Gary Ray', 'Cole Murray', 'Richard Cox', 'Dawn Lolos', 'John Doman', 'Kirby Mitchell', 'Diane McBain', 'Raymond Michael Karl', 'Fatmir Haskaj', 'Marni Lustig', 'Peter Linari', 'Henry Stolow', 'Steven M. Brisco', 'Kelly Varley', 'Buck Berk', 'Greta Watson', 'Seamus Frawley', 'Bruce Peters', 'Rachel Kaliti', 'Hannah Kaliti', 'Bill Galvin', 'Stacy Arnost']","Besotted: Directed by Holly Hardman. With Jim Chiros, Susan Gibney, Holly Hardman, Liam Waite. Shep, a depressed lobsterman, still holds a torch for fisherwoman Vicki. But she has eyes for Damien, a handsome Harvard boy summering on Cape Cod. Hoping to reunite the old lovers, a sorceress guides their destinies on a game board in her backyard. But playing puppeteer to messy mortals proves difficult...",
Far from China (2001) ,2001,Drama,7.0,,['C.S. Leigh'],"['Aurélia Thiérrée', 'Lambert Wilson', 'Antoine Chappey', 'Steven Mackintosh', 'Marianne Faithfull', 'Thure Lindhardt', 'Lucy Russell', 'Ian Rickson', 'Jens Albinus', 'Gwenaëlle Simon', 'Bérangère Allaux', 'Gerard Bidstrup', 'Linford Brown', 'Christopher Chaplin', 'Cecil Cheng', 'Mark Gilvary', 'Agnes Haladjian', 'Joey Koon', 'Noah Lazarus', 'Johnny Melville', 'Maya Morch', 'Valerianne Moyersoen', 'Claire Nicolson', ""Daniel O'Meara"", 'Andrew Robertson', 'Claire Ross-Brown', 'Dorman Smith']","Far from China: Directed by C.S. Leigh. With Aurélia Thiérrée, Lambert Wilson, Antoine Chappey, Steven Mackintosh.",
Jimmy Neutron: Boy Genius (2001) ,2001,"Animation, Action, Adventure",6.1,U,['John A. Davis'],"['Megan Cavanagh', 'Mark DeCarlo', 'Debi Derryberry', 'Jeffrey Garcia', 'Bob Goen', 'Mary Hart', 'Carolyn Lawrence', 'Andrea Martin', 'Candi Milo', 'Rob Paulsen', 'Crystal Scales', 'Martin Short', 'Patrick Stewart', 'Jim Cummings', 'David L. Lander', 'Kimberly Brooks', 'Paul Greenberg', 'Laraine Newman', 'Jeannie Elias', 'Michael Hagiwara', 'John A. Davis', 'Keith Alcorn', 'Richard Allen', 'Brian Capshaw', 'Cheryl Ray', 'Mark Menza', 'Frank Welker', 'Billy West', 'Matthew Russell', 'Carlos Alazraqui', 'Dee Bradley Baker']","Jimmy Neutron: Boy Genius: Directed by John A. Davis. With Megan Cavanagh, Mark DeCarlo, Debi Derryberry, Jeffrey Garcia. An eight-year-old boy genius and his friends must rescue their parents after the adults are abducted by aliens.",82
The Children's Midsummer Night's Dream (2001) ,2001,"Drama, Fantasy",5.8,,['Christine Edzard'],"['Jamie Peachey', 'John Heyfron', 'Danny Bishop', 'Jessica Fowler', 'Leane Lyson', 'Daniel Rouse', 'David Joyce', 'Oliver Szczypka', 'Jack Nottage', 'Mathew Zelic', 'Hassan Lahrech', 'Dominic Haywood-Benge', 'Rajouana Zalal', 'Gillian Brimmer', 'Mathew Davis', 'Joelene Dyer', 'Sajitha Forde', 'Jack Holland', 'Brett Phipps', 'Sarah Maillardet', 'Meera Patel', 'Kelly Silvester', 'Sinead Spaulding', 'Sarah Begum', 'Samantha Bond', 'Derek Jacobi']","The Children's Midsummer Night's Dream: Directed by Christine Edzard. With Jamie Peachey, John Heyfron, Danny Bishop, Jessica Fowler. Feature film of William Shakespeare's play performed by children. Remarkable production values and the whole complete text performed without manners.",
Cats & Dogs (2001) ,2001,"Action, Adventure, Comedy",5.2,U,['Lawrence Guterman'],"['Jeff Goldblum', 'Elizabeth Perkins', 'Alexander Pollock', 'Miriam Margolyes', 'Myron Natwick', 'Doris Chillcott', 'Lauren K. Robek', 'Frank C. Turner', 'Mar Andersons', 'Gillian Barber', 'Carol Ann Susi', 'Randi Kaplan', 'Mary Bogue', 'Alvin Sanders', 'Mark Schooley', 'Lou Bollo', 'Scott Nicholson', 'Trish Schill', 'Babe Dolan', 'Reg Glass', 'Charles Andre', 'Peggy Logan', 'Alicia Michelle', 'Pamela Perry', 'Tobey Maguire', 'Alec Baldwin', 'Sean Hayes', 'Susan Sarandon', 'Joe Pantoliano', 'Michael Clarke Duncan', 'Jon Lovitz', 'Victor Wilson', 'Salome Jens', 'Charlton Heston', 'Glenn Ficarra', 'Danny Mann', 'Billy West', 'Paul Pape']","Cats & Dogs: Directed by Lawrence Guterman. With Jeff Goldblum, Elizabeth Perkins, Alexander Pollock, Miriam Margolyes. A look at the top-secret, high-tech espionage war going on between cats and dogs, of which their human owners are blissfully unaware.",87
Elvira's Haunted Hills (2001) ,2001,"Comedy, Horror",5.6,PG-13,['Sam Irvin'],"['Cassandra Peterson', ""Richard O'Brien"", 'Mary Scheer', 'Scott Atkinson', 'Heather Hopper', 'Mary Jo Smith', 'Gabi Andronache', 'Jerry Jackson', 'Theodor Danetti', 'Lucia Maier', 'Constantin Cotimanis', 'Remus Cernat', 'Mark Pierson', 'Sam Irvin', 'Rob Paulsen']","Elvira's Haunted Hills: Directed by Sam Irvin. With Cassandra Peterson, Richard O'Brien, Mary Scheer, Scott Atkinson. Spooky high jinks abound when Elvira finds herself spending the night in a mysterious castle en route to 1851 Paris.",90
Ticker (2001) ,2001,"Action, Crime, Thriller",3.5,R,['Albert Pyun'],"['Tom Sizemore', 'Dennis Hopper', 'Steven Seagal', 'Jaime Pressly', 'Nas', ""Rozonda 'Chilli' Thomas"", 'Peter Greene', 'Kevin Gage', 'Michael Halsey', 'Norbert Weisser', 'Romany Malco', 'Joe Spano', 'Mimi Rose', 'Tish Daniels', 'Linda Castro', 'Vanessa Branch', 'Simona Williams', 'Laurie Rose', 'Brandi Brandt', 'John Thompson', 'Stacie Randall', 'Ron Roggé', 'Joey Meyer Rosenblum', 'Yuji Okumoto', 'Fumiyasu Daikyu', ""Mariah O'Brien"", 'Caleb LeConte', 'John Huntington', 'Damon Chandler', 'Daryle Jenewein', 'Jerry Rector', ""Clarence 'Gatemouth' Brown"", 'Billy Preston', 'Marty Grebb', 'Leland Sklar', 'Joseph Modeliste', 'Penny Ford', 'Kimberly Brewer', 'Kaos Segal', 'Ice-T', 'Chris Astoyan', 'Vincent Klyn', 'Jenny McShane', 'Milos Milicevic']","Ticker: Directed by Albert Pyun. With Tom Sizemore, Dennis Hopper, Steven Seagal, Jaime Pressly. After a San Francisco detective's partner is murdered by Northern Irish terrorists, the officer joins the bomb squad in order to bring them to justice.",92
Kiss of the Dragon (2001) ,2001,"Action, Crime, Thriller",6.6,U,['Chris Nahon'],"['Jet Li', 'Bridget Fonda', 'Tchéky Karyo', 'Ric Young', 'Burt Kwouk', 'Laurence Ashley', 'Cyril Raffaelli', 'Didier Azoulay', 'John Forgeham', 'Paul Barrett', 'Max Ryan', 'Colin Prince', 'Vincent Glo', 'Vincent Wong', 'Kentaro', 'Stéphane Jacquot', 'Stefan Nelet', 'Peter Sakon Lee', 'Isabelle Duhauvelle', 'Yannick Derrien', 'Francesca Disca', 'Taïra', 'David Gabison', 'Bertrand Waintrop', 'Alain Zef', 'Nicolas Herault', 'Jean-Marc Huber', 'Franck Tiozzo', 'John Maczko', 'Claude Brécourt', 'Jean-Georges Vongerichten', 'François Nguyen', 'Jocelyne Isaac', 'Raymond Khamvene', 'Urfé Koupaki', 'Grégory Galin', 'Alexander Koumpan', 'Daniel Milgram', 'Bernard Flavien', 'Eric Averlant', 'Marc Ligaudan', 'Frédéric Moulin', 'Alain de Catuelan', 'Ludovic Berthillot', 'Guillaume Lamant', 'Lina Chen', 'Barbara Bernard', 'Pat Tourne', 'Crystalle Seeram', 'Karen Drotard', 'Sabine Ben Rhadi', 'Saadi Spera', 'Stéphanie Martin', 'Stéphanie Durand', 'Carmelle Edma', 'Schana Réaux', 'Affif Ben Badra']","Kiss of the Dragon: Directed by Chris Nahon. With Jet Li, Bridget Fonda, Tchéky Karyo, Ric Young. A betrayed intelligence officer enlists the aid of a prostitute to prove his innocence from a deadly conspiracy while returning a favor to her.",98
Blond & Brunettes (2001) ,2001,Adult,7.3,,['Andrew Blake'],"['Anita Blond', 'Aria Giovanni', 'Kyla Cole', 'Kelle Marie', 'Terry Summers', 'John Decker', 'Ava Vincent']","Blond & Brunettes: Directed by Andrew Blake. With Anita Blond, Aria Giovanni, Kyla Cole, Kelle Marie.",
Legally Blonde (2001) ,2001,"Comedy, Romance",6.5,U,['Robert Luketic'],"['Reese Witherspoon', 'Luke Wilson', 'Selma Blair', 'Matthew Davis', 'Victor Garber', 'Jennifer Coolidge', 'Holland Taylor', 'Ali Larter', 'Jessica Cauffiel', 'Alanna Ubach', 'Oz Perkins', 'Linda Cardellini', 'Bruce Thomas', 'Meredith Scott Lynn', 'Raquel Welch', 'Samantha Lemole', 'Kelly Nyks', 'Ted Kairys', 'Michael B. Silver', 'Kimberly McCullough', ""Shannon O'Hurley"", 'Greg Serano', 'Francesca P. Roberts', 'Lisa Arch', 'Natalie Barish', 'Cici Lau', 'Allyce Beasley', 'Kevin Cooney', 'Ted Rooney', 'David Moreland', 'Wayne Federman', 'James Read', 'Tane McClure', 'Niklaus Lange', 'Doug Spinuzza', 'Lisa K. Wyatt', 'Jason Christopher', 'Corinne Reilly', 'Victoria Mahoney', 'Lacey Beeman', 'Melissa Anne Young', 'Brody Hutzler', 'Chaney Kley', 'John Cantwell', 'Ondrea De Vincentis', 'Terence Michael', 'Nectar Rose', 'Jodi Harris', 'Patricia Kimes', 'Sasha Barrese', 'Kelly Driscoll', 'Elizabeth Matthews', 'Kennedy Stone', 'Moonie', 'Lily', 'Gary Ambrosia', 'Saraa Barhoum', 'Joan Blair', 'Christopher Bunyan', 'Ali Chen', 'Gary Castro Churchwell', 'Curt Clendenin', 'Joe Dolan', 'Melanie Hope Gassaway', 'Amber Goetz', 'Matt Hall', 'Carol Hatchett', 'Mark Heidelberger', 'Richard Hillman', 'Seth Adam Jones', 'John Kapelos', 'Charles M. Kerper', 'Joanna Krupa', 'Dean Mason', 'Paul McMichael', 'Beverly Polcyn', 'Kate Roxburgh', 'Scott Ryan', 'Rachel Ryling', 'Nikky Smedley', 'Jimmy Star', 'John Tartaglia', 'Dylan White', 'Jenna Z. Wilson']","Legally Blonde: Directed by Robert Luketic. With Reese Witherspoon, Luke Wilson, Selma Blair, Matthew Davis. Elle Woods, a fashionable sorority queen, is dumped by her boyfriend. She decides to follow him to law school. While she is there, she figures out that there is more to her than just looks.",96
A.I. (2001) ,2001,"Adventure, Drama, Sci-Fi",7.2,U,['Steven Spielberg'],"['Haley Joel Osment', ""Frances O'Connor"", 'Sam Robards', 'Jake Thomas', 'Jude Law', 'William Hurt', 'Ken Leung', 'Clark Gregg', 'Kevin Sussman', 'Tom Gallop', 'Eugene Osment', 'April Grace', 'Matt Winston', 'Sabrina Grdevich', 'Theo Greenly', 'Jeremy James Kissner', 'Dillon McEwin', 'Andy Morrow', 'Curt Youngberg', 'Ashley Scott', 'John Prosky', 'Enrico Colantoni', 'Paula Malcomson', 'Brendan Gleeson', 'Michael Berresse', 'Hunter King', 'Kathryn Morris', 'Daveigh Chase', 'Brian Turk', 'Justina Machado', 'Tim Rigby', 'Lily Knight', 'Vito Carenzo', 'Rena Owen', 'J. Alan Scott', 'Ana-Sofia Mastroianna', 'Laurence Mason', 'Brent Sexton', 'Ken Palmer', 'Jason Sutter', 'Michael Shamus Wiles', 'Kelly McCool', 'Clara Bellar', 'Keith Campbell', 'Tim Rhoze', 'Jim Jansen', 'Eliza Coleman', 'R. David Smith', 'Wayne Wilderson', 'Bobby Harwell', 'Billy Scudder', 'Jack Angel', 'Robin Williams', 'Ben Kingsley', 'Meryl Streep', 'Chris Rock', 'Erik Bauersfeld', 'Michael Mantell', 'Miguel Pérez', 'Matt Malloy', 'Adrian Grenier', 'Mark Allan Staubach', 'Michael Fishman', 'Jeanine Salla', 'Laia Salla', 'Diane Fletcher', 'Kate Nei', 'Claude Gilbert', 'Red King', 'Al Jourgensen', 'Paul Barker', 'Max Brody', 'Duane Buford', 'Adam Grossman', 'Ty Coon', 'Linda Asuma', 'Hallie Bird', 'Ronnie Gene Blevins', 'Luke Burnyeat', 'Rose Davidson', 'Christopher Dye', 'Richard A. Eisenstein', 'Brian Feldman', 'Kelly Felix', 'Elizabeth Friedman', 'John Harmon', 'Baron Jay', 'Spencer Kayden', 'Michael Andrew Colin Keller', 'Katie Lohmann', 'Tina Lorraine', 'Paul McMichael', 'Claudia Katz Minnick', 'Sarena Mobley', 'Alex Morissen', 'Chris Palermo', 'Sandra Plazinic', 'Paul Sinacore', 'Nicki Sixteen', 'Rick Solis', 'Clara Soyoung', 'Valek Sykes', 'Marcus A. York']","A.I.: Directed by Steven Spielberg. With Haley Joel Osment, Frances O'Connor, Sam Robards, Jake Thomas. A highly advanced robotic boy longs to become ""real"" so that he can regain the love of his human mother.",146
One Blood Planet (2001) ,2001,"Horror, Thriller",5.9,,['Jerry Decker'],"['Lynwood Robinson', 'Diedre Madsen', 'Clayne Crawford', 'Bryant Turner']","One Blood Planet: Directed by Jerry Decker. With Lynwood Robinson, Diedre Madsen, Clayne Crawford, Bryant Turner. In the 14th century the Black Death ravaged Europe, killing off nearly half the population. Seven hundred years later, ""the Vampire Flu"" finishes the job. And in a small apartment, as society crumbles, the final battle to save humanity is being fought. This is the home of Taylor Freeman (Lynwood Robinson), the one man on the planet who is immune to the effects of this deadly plague. But Taylor is not alone. He lives with his wife, Lee (Diedre Madsen), who is slowly dying in front of him. And Taylor will do anything to save her life. Using household chemicals and drugs, Taylor administers a series of treatments that he hopes will cure his wife. But while he is able to slow the progress of the disease, he can not stop it. And as Lee's condition worsens, and the population around them dies out, Taylor discovers that the only thing that may keep her alive is his own blood. Within the claustrophobic confines of their apartment, Taylor begins to feed his wife. It is the ultimate sacrifice, but one that reveals the cracks in the couples relationship. And as the days run together, Taylor and Lee descend into a dark world of suspicion and mistrust. Making matters worse is the fact that others have survived the holocaust, mad souls who have been feasting on the flesh of the dead. After a run in with one of these cannibals, Taylor begins to fear that his blood is turning Lee into a monster. Taylor's fragile mind begins to crack. The isolation seeps inside his soul. And when he stops feeding Lee, the real nightmare begins.",
Crazy/Beautiful (2001) ,2001,"Drama, Romance",6.4,UA,['John Stockwell'],"['Kirsten Dunst', 'Jay Hernandez', 'Bruce Davison', 'Herman Osorio', 'Miguel Castro', 'Tommy De La Cruz', 'Rolando Molina', 'Soledad St. Hilaire', 'Lucinda Jenney', 'Taryn Manning', 'Richard Steinmetz', 'Ana Argueta', 'Neil Looy', 'Marion Moseley', 'Mike Jones', 'Carolyn McKnight', 'Michael J. Fisher', 'Cory Hardrict', 'Keram Malicki-Sánchez', 'Kimi Reichenberg', 'Matt McKane', 'Jim Jackman', 'Kevin Kane', 'Griselda Diaz', 'Claudia Soundy', 'Rick Dallago', 'Berenice Ayala', 'Virginia Sánchez', 'Hank Mendoza', 'María Díaz', 'Louie Liberti', 'Bob Sattler', 'John Marrott', 'Josh Vaughn', 'Devon Williams', 'David Benitez', 'Tracy Claustro', 'Jackie Napal', 'Gary Cruz', 'Magdaleno Robles Jr.', 'Matt Hobbie', 'John Pemberton', 'Michael Beardsley', 'Joshua Feinman', 'Matt Holly', 'Paul McMichael', 'Louis E. Rosas', 'Kevin Tash', 'Martin Taylor']","Crazy/Beautiful: Directed by John Stockwell. With Kirsten Dunst, Jay Hernandez, Bruce Davison, Herman Osorio. At Pacific Palisades High, a poor Latino falls hard for a troubled girl from an affluent neighborhood.",99
